# maelstrom - GimmeMotifs version 0.10.0b4
# method: lightning with motif score
# motif table: mm10.most_variable.out/motif.score.txt.gz
# activity values: coefficients from fitted model
	Bcell	CD4	CD8	CMP	Erythroblast	GMP	MEP	MPP	Monocytes	Nkcell
bHLH_Average_164	0.00211900139808	0.00279971906902	-0.00127822006882	-0.00133030810266	0.00142914422596	0.000973180713373	-0.00334983137491	-0.000190072230965	0.000883104373261	-0.00205571800233
bHLH_Average_148	0.000510358881075	0.00120683765985	8.89724151064e-05	4.10417394346e-05	-0.000624819495773	0.000383808117589	-0.000626148273856	-0.000297021017196	-0.000282790458712	-0.000400239567518
bHLH_Average_160	0.000202552774245	0.00104312847243	0.000211139899904	-0.00027156410821	-0.000132694431858	2.38734072043e-05	-0.000140997196515	-0.000240628490616	-6.37363480968e-05	-0.000631073978493
bHLH_M5980_1.01	-0.00232385167578	-0.00113989437838	0.00197137167735	0.00261439323776	-0.00911799881971	0.00521610264714	0.00253530596093	0.00276473048917	-0.000360438605788	-0.00215972053269
bHLH_M0177_1.01	0.000815321880536	0.00260168193026	-0.000727571443447	-0.000900235238461	-0.00125490362904	0.00158684204858	-0.000756801883915	0.000140158926375	-0.00114610806114	-0.000358384529744
bHLH_Average_145	-0.00120694128477	-0.0127522350659	-0.0015013914005	0.0144452513756	-0.00844840983312	0.00244035021242	0.00498727409708	0.00781979624722	-0.00362754559263	-0.00215614875541
bHLH_Average_140	0.000325984792557	-0.0018757104404	-0.000234345592822	0.000747694398267	-0.00124793159851	0.000397953906276	0.000329915076531	0.00114685083546	0.000510297212006	-0.000100708589368
bHLH_M0210_1.01	0.00102989216499	-0.00393966801952	0.00699057211422	0.00258178183078	-0.00234218232259	0.00179920191452	0.000472117776515	-0.00638833654009	-0.00104369956579	0.000840320646972
bHLH_M6165_1.01	0.00127076721575	-0.000957795652364	-0.00209837987639	0.000990053233233	0.00048516186714	-0.000984866259269	-0.000121620340396	0.00125024246019	-0.000318328893092	0.000484766245193
bHLH_M6031_1.01	-0.0068516367675	0.00612997661862	-0.00080914695115	0.00121360723667	0.00842729732375	-0.0025519289481	-0.00272385927229	0.000580294661655	0.00112593180527	-0.00454053570693
bHLH_M0187_1.01	0.000213834250849	0.000726433928049	0.000201542064733	-0.000361885376403	-0.000728516431648	-0.000797055835822	0.000165929963385	-0.000296412255489	0.00041529048362	0.000460839208725
bHLH_M2787_1.01	-0.00415206018953	0.00317735217877	-0.00410197801583	0.00333801267242	0.000580090922033	-0.00615776759983	0.00291526742048	0.00431643132517	0.00104697178645	-0.00096232050012
bHLH_Average_139	0.00541556843161	-0.0139842877974	-0.000562382427611	0.0097405038301	0.00338110011547	-0.00769237329037	0.00323539887956	-0.00265683045605	-0.00557673433938	0.00870003705405
bHLH_Average_115	0.00076378913854	-0.00115402317377	0.00122681446256	-0.00162856809626	0.00178728963918	-0.00286927993534	0.000726867164344	-0.000766668654807	-0.000268516162855	0.0021822956184
bHLH_Average_117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bHLH_M5969_1.01	-0.00112161790579	0.00788585132265	-0.00172800702178	0.00202987146329	-0.0071879029102	0.00139011348771	0.00117885440766	-0.000669718919396	-0.00144893852264	-0.000328505401513
bHLH_M6087_1.01	0.000915046945903	-0.00779007919005	-0.000287100859476	0.0079010279994	-0.00384365010637	-0.00174555319998	0.00855763876562	0.00149895147918	-0.00289323080613	-0.00231305102811
bHLH_Average_143	0.111397909191	-0.0344143720861	-0.0202658434965	-0.0123392873359	0.0182353096844	-0.0051741124588	-0.0114986274045	-0.0243039699074	-0.00947898191409	-0.0121580242723
bHLH_T-box_M5447_1.01	-0.00687355248595	-0.0249868545215	-0.0180601242841	-0.0178988798508	-0.0107814569317	-0.0316599124338	0.00331685176193	-0.00919947606915	-0.0113988756985	0.127542280514
bHLH_T-box_M5448_1.01	-0.00118956370262	-0.00206141279389	0.000415008269596	-0.00172228471956	0.000150142899932	5.63647249117e-05	0.000290653029735	-0.000988414301359	0.000571040946275	0.00447846564698
bHLH_T-box_M5449_1.01	-0.000221073858115	-0.000336971738407	-0.00140553992639	-0.00480685809971	-0.00181910657789	-0.00161370857288	-0.00140634452859	0.00129745128213	-0.00170952846632	0.0120216804862
bZIP_M3883_1.01	-0.00327071051743	0.00188128599037	0.0119836179064	-0.00805428577644	-0.00317485792814	-0.000703686107936	-0.000721308819177	-0.0066616301549	0.0108073385332	-0.00208576312602
bZIP_M3882_1.01	0.000248685846333	-0.0022337472624	-0.00145387526485	0.00190565365077	-0.00162623908336	0.000200671822417	-0.000178196514338	0.00165614607403	0.000907221496499	0.000573679234899
bZIP_Average_149	-0.00836078894907	0.00546133979315	-0.00370886965266	0.0034615758062	-0.00688226988839	-0.00462858833127	-0.00516199771942	-0.00372469090532	0.0132828265044	0.0102614633423
bZIP_Average_67	-0.0203765790073	0.00716781792577	-0.0158254224517	-0.0222605254799	-0.0165063986832	0.051141338238	-0.0100506729254	-0.0146348609928	0.0530521031729	-0.0117067997964
bZIP_Average_146	0.00153200388705	-0.014004971705	-0.0153500861451	7.03749235657e-05	-0.0147659669925	-0.00650254534431	-0.00780398159895	-0.005189741602	0.0391104626548	0.0229044519224
