# maelstrom - GimmeMotifs version 0.10.0b4
# method: classic with motif count
# motif table: mm10.most_variable.out/motif.count.txt.gz
# activity values: BH-corrected hypergeometric p-values
	MPP	CMP	GMP	MEP	Monocytes	Erythroblast	CD4	CD8	Bcell	Nkcell
AP-2_Average_26	0.930425705517	1.25626270688	0.000663955893589	0.542967568172	0.0775588186022	1.08657926314	0.00635144632539	0.0518920621087	0.350844547423	0.787811223498
AP-2_Average_17	0.0320257666626	1.13335679911	0.317675955361	0.190293622194	0.0320257666626	4.2319599914	0.00354005376754	0.190293622194	0.0491387364238	0.490020234341
AP-2_Average_27	0.560860994381	0.560860994381	0.157135664164	0.681526432321	0.45400553656	0.560860994381	0.0513008011633	0.0513008011633	0.0513008011633	0.360682535736
AP-2_Average_15	0.172392887517	0.172392887517	0.0830329273422	0.172392887517	0.763893439027	2.40387533163	0.00103613305343	0.172392887517	0.628057961533	0.235277007693
AP-2_M5965_1.01	0.460288791669	1.91011268252	0.00470868220531	0.00833294006083	0.103734427705	8.83075975501	0.14042985209	0.460288791669	0.00833294006083	0.000112457301492
ARID_BRIGHT_Average_1	0.00110905639413	1.83005053429	0.107294232861	2.3684108672	5.82452585619e-07	2.5147785001	2.08979606483	0.0168991098959	1.06950648017	0.0016494234032
ARID_BRIGHT_M0104_1.01	0.0502020495725	0.0502020495725	0.453962132527	0.196847534482	0.196847534482	4.03052665454	0.0502020495725	0.0502020495725	0.0502020495725	-0.0
ARID_BRIGHT_Average_3	0.00110905639413	1.83005053429	0.107294232861	2.3684108672	5.82452585619e-07	2.5147785001	2.08979606483	0.0168991098959	1.06950648017	0.0016494234032
ARID_BRIGHT_M5966_1.01	0.0359864910039	0.360686850608	-0.0	1.0714478502	-0.0	0.669421937205	0.669421937205	-0.0	1.56075231441	0.0359864910039
ARID_BRIGHT_Average_4	0.0297055797616	0.0297055797616	0.0297055797616	0.078216523104	1.62182299272	0.078216523104	1.2656206283	1.2656206283	0.0297055797616	0.291141912049
ARID_BRIGHT_M0108_1.01	0.0561692149062	0.215732333223	0.490737569622	0.215732333223	0.215732333223	0.490737569622	-0.0	0.0561692149062	0.490737569622	0.490737569622
ARID_BRIGHT_Average_2	0.00109015684847	1.25903080816	1.92887276778	2.02421699451	0.0437662989028	3.37185793279	0.0437662989028	0.00143364671201	1.11707903866	6.49120095022e-05
AT_hook_M6098_1.01	0.281253561732	0.216020969092	0.0228815638819	0.00757153906358	0.00195417459855	0.0228815638819	3.61818873009	2.04681166913	1.08405733244	0.117744030557
AT_hook_M0127_1.01	0.735574170429	0.303293126819	0.0343132109598	0.169600528324	0.000501960214024	1.60602808416	0.0113444084346	1.21356831338	1.03941865158	0.169600528324
AT_hook_M0131_1.01	0.529029107521	1.67096608602	0.0996772657684	0.0996772657684	2.94280594672e-05	2.20499403	1.0122493366	0.670490685682	0.0191233313488	0.00402252435034
AT_hook_M0133_1.01	0.0628977549467	0.530912931389	0.0628977549467	-0.0	0.0628977549467	2.06920980823	0.530912931389	0.236599420856	-0.0	0.236599420856
AT_hook_M6099_1.01	0.0259135863473	0.898670036446	0.114749258441	-0.0	0.549785996797	1.83745360164	0.0259135863473	0.549785996797	0.114749258441	0.0259135863473
AT_hook_Average_2	0.169794423096	1.86459973126	4.95240606482	0.242134480489	2.15442009287e-08	0.74275733104	0.169794423096	0.0013478193779	9.53904588862	1.41320303655e-07
AT_hook_M0128_1.01	-0.0	0.46351257882	-0.0	-0.0	-0.0	1.28178100567	-0.0	0.46351257882	-0.0	-0.0
AT_hook_Average_1	0.148616233855	1.37444574883	1.08163357038	3.97140531591	0.148616233855	3.14748168964e-05	0.540543907171	5.32915043435e-06	3.35727849599	0.0424360201523
bHLH_bZIP_Average_10	2.24043189763	0.102787327027	0.000747443959397	0.0267127284164	0.147142142804	0.354446514785	0.272047030384	0.451034244364	0.354446514785	0.986079623947
bHLH_bZIP_M5432_1.01	1.39696681472	0.0500991468039	0.131457892825	0.375868107838	0.083873159825	0.131457892825	0.131457892825	0.276017358369	0.276017358369	0.794876930647
bHLH_Average_165	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
bHLH_M2134_1.01	21.1436001459	0.473539051489	0.0174788628488	2.30657698783	0.038200401493	7.52458890978e-05	1.29637132144e-05	0.0024041932699	0.000695907193253	0.327639044409
bHLH_Average_151	7.38613442388	0.514178267205	0.0452179533789	0.848236553001	0.0920664975123	0.00694883660923	0.345381630152	0.00387844188688	0.030110568724	0.12563558191
bHLH_M6260_1.01	2.84125818733	0.0176050846802	0.521656587017	0.521656587017	0.0368470735426	0.0176050846802	0.184311692417	0.68258744525	0.116910839122	0.116910839122
bHLH_Average_27	6.55150161896	0.115121066693	0.00340884157285	0.0802877136225	0.450453148344	1.66023303272	0.0802877136225	0.0122582676901	0.0802877136225	0.0346017474911
bHLH_M5981_1.01	1.88070453061	0.036558820973	0.00820019499686	0.00231852598426	1.31373133558	0.152630840719	0.727193673667	0.727193673667	0.202383316062	0.262080935862
bHLH_Average_154	2.2723577632	0.106416592059	0.0279297681135	0.279618078213	0.461915865356	2.53515190959	0.00855462313077	0.151928052392	0.0715539581465	0.0459129142944
bHLH_Average_164	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
bHLH_Average_148	0.694229526731	0.0857172902847	0.0323983576334	0.00927720606952	2.11723233952	0.184224961448	0.846413906805	0.184224961448	0.254258896317	0.184224961448
