	HSC	MPP	LMPP	CMP	GMP	MEP	Mono	CD4	CD8	Nkcell	Bcell	CLP	Ery
bHLH_M6031_1.01	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.382039403418	0.595240061979	-0.0	-0.0	-0.0	-0.0
bHLH_M0187_1.01	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.187715555448	-0.0	0.639469199343	0.496426893321	-0.0	-0.0
bHLH_M2787_1.01	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
bHLH_Average_139	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
bHLH_Average_115	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0485868948188	3.42357081258	-0.0	-0.0	-0.0
bHLH_Average_117	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
bHLH_M5969_1.01	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.95730635592	-0.0	-0.0	-0.0	-0.0
bHLH_M6087_1.01	-0.0	-0.0	5.93001280675	-0.0	-0.0	1.21577037684	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
bHLH_Average_143	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.538798736635	11.1601955365	-0.0
bHLH_T-box_M5447_1.01	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	5.59456029537	8.70530606712	1.71620304885	-0.0	-0.0
bHLH_T-box_M5448_1.01	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	1.82228247863	-0.0	-0.0	-0.0
bHLH_T-box_M5449_1.01	-0.0	-0.0	2.28378562073	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	6.24208243008	-0.0	-0.0	-0.0
bZIP_M3883_1.01	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	3.01073611104	-0.0	1.7204728225	-0.0	-0.0	0.159042702903	-0.0
