# maelstrom - GimmeMotifs version 0.10.0b4
# method: classic with motif count
# motif table: hg19.most_variable.out/motif.count.txt
# activity values: BH-corrected hypergeometric p-values
	HSC	MPP	LMPP	CMP	GMP	MEP	Mono	CD4	CD8	Nkcell	Bcell	CLP	Ery
AP-2_Average_26	0.0110171410877	0.00521203522587	0.605417903442	2.08209411101e-05	0.886684528273	0.0617993393445	3.66540754651	0.000884226074672	0.0210136491326	0.275554410171	0.00528513966248	1.90880168107	5.73972282407
AP-2_Average_17	0.00669346569461	6.06375251886e-05	0.509826873498	6.16910892539e-05	0.199074450167	0.000942763054696	3.78667402152	0.0517822261323	0.0288470487393	0.9746330903	0.134036366479	1.87659743039	4.72978506087
AP-2_Average_27	0.00611219582166	0.210370123773	0.551879141687	4.16408449792e-06	0.541134052378	0.014270399039	2.33252244232	0.000712736013834	0.0532035038225	0.865157472305	0.538474864023	0.300232315894	3.84782774815
AP-2_Average_15	3.31044494259e-07	0.154644765014	0.0619500932297	5.23476179589e-06	0.325584525409	0.0599166872296	1.84039185545	0.00709986708921	0.0594175827326	0.156770024491	0.00269178718855	4.64388790807	8.78453197631
AP-2_M5965_1.01	-0.0	0.0743081266712	0.59129175411	0.0745111588045	0.0747147725895	0.0747147725895	2.17651047389	0.0745111588045	0.0745111588045	0.0747147725895	0.0745111588045	0.585934301528	0.602171550355
ARID_BRIGHT_Average_1	16.6973313086	11.8362801755	0.09915706724	1.50089582857	0.147284003161	0.332153944333	1.05767819285e-06	0.682948501648	0.000520463650498	0.000163356494765	0.222529710515	0.000520463650498	3.93579245259e-08
ARID_BRIGHT_M0104_1.01	3.18424784229	0.324170600833	-0.0	0.134054812119	-0.0	0.975415005314	0.0317583773102	0.324977273139	0.134054812119	0.607665951031	-0.0	0.0317583773102	0.337324916012
ARID_BRIGHT_Average_3	16.6973313086	11.8362801755	0.09915706724	1.50089582857	0.147284003161	0.332153944333	1.05767819285e-06	0.682948501648	0.000520463650498	0.000163356494765	0.222529710515	0.000520463650498	3.93579245259e-08
ARID_BRIGHT_M5966_1.01	0.623117697351	0.622024636333	0.29171831779	-0.0	0.289276465859	0.289276465859	0.288669462755	0.288669462755	-0.0	0.624212926088	-0.0	0.623117697351	-0.0
ARID_BRIGHT_Average_4	0.954915995536	0.194975577373	0.331647169834	0.494708891666	0.047509332504	0.496445093067	0.325205307798	0.494708891666	0.195845839566	0.496445093067	0.0166992641553	0.0472296063324	0.112915481937
ARID_BRIGHT_M0108_1.01	0.5832351674	0.195794797641	0.0290052519696	1.57997366942	0.584843152885	0.864093578148	0.087775709883	0.196505514539	0.087775709883	0.0881511147902	0.361084694357	0.0282748942565	0.0305208683341
ARID_BRIGHT_Average_2	20.1849426803	5.74767980162	2.56294752872e-05	14.0539515638	1.06829067266	2.86665879877	2.82372695667e-08	0.564383465925	0.00837590145656	3.59797532506e-05	0.115994944627	3.28756650736e-05	-0.0
AT_hook_M6098_1.01	2.82353557605	0.131798046583	0.0182648707353	0.172674434128	0.221634228363	2.00312413625	0.00113609819713	1.46837308462	0.273901555087	0.339801245754	0.488433167733	0.0744867441235	0.00295120979833
AT_hook_M0127_1.01	5.45228872345	2.896680672	0.202530915828	0.000962385883827	0.149582472906	0.46343457474	3.45467386075e-05	2.67389164752	0.111133046382	0.382025746342	0.763076747232	0.00626583486299	5.94092998862e-07
AT_hook_M0131_1.01	7.29147370543	0.818730122173	1.1866541979	0.0588803085703	0.00564650267999	0.189740839387	0.00556602559762	0.339062070515	0.133392954238	0.189740839387	0.822923120668	0.0588803085703	1.0061398501e-05
AT_hook_M0133_1.01	1.54140414809	0.363836161705	0.0382191628702	0.364691162697	-0.0	0.671758456473	-0.0	0.153682817337	0.670408100573	0.154117707813	0.153682817337	0.0375517532334	0.377767390937
AT_hook_M6099_1.01	1.09680283135	1.48750447561	0.00875371924421	1.09680283135	0.48841639376	0.27765550189	0.130915310846	0.130915310846	0.276787542089	0.131398940365	0.0454541956776	0.00852102134909	0.00923815156283
AT_hook_Average_2	44.7029735062	16.1402598831	0.0352739003187	15.191444635	2.3021851357	0.387687119551	1.15382401718e-06	0.263114492264	4.23351309808e-05	1.45211776806e-05	0.21850118866	4.92998097292e-10	9.48850010716e-13
AT_hook_M0128_1.01	6.03627627745	0.54772898463	-0.0	0.548959335289	0.117381989975	0.0269915266502	0.0268856768425	-0.0	0.289802712057	0.290564763833	0.0268856768425	0.117011072972	0.0285181337994
AT_hook_Average_1	5.67597698268	6.56560126748	0.053613001609	6.554620623	0.956572329978	3.17885860869	0.0829631382533	1.99021312053	0.00023021694001	0.0149988433225	1.16876697523	0.118169020436	-0.0
bHLH_bZIP_Average_10	0.142228351197	0.0527465753551	0.551879141687	0.00228272808032	0.0536639137926	0.0536639137926	1.0549859297	0.0532035038225	1.0549859297	4.93089123713	0.0901153785487	0.0141197254717	0.442804242709
bHLH_bZIP_M5432_1.01	0.0018426160256	0.0540725560743	0.960124275398	0.0944253667267	0.228948592194	0.0549623306847	0.586994834592	0.151322573391	1.15315487788	0.228948592194	1.64427111968	0.324942422973	0.105310733838
bHLH_Average_165	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
bHLH_M2134_1.01	0.00611163087903	5.38633886876e-05	3.10204925242	0.00329296910296	0.440083126901	0.0442470764425	0.0642386991651	0.00329296910296	1.71274325138e-06	0.000149007643306	0.0179259730313	12.5401525461	11.0242116456
bHLH_Average_151	6.54324966176e-05	0.0405937838544	1.90478146439	0.0908013317128	0.00896345481946	0.380421936279	0.572873172997	0.298304718293	0.00109237316594	0.232583514329	0.298304718293	5.62558441714	0.630940195544
bHLH_M6260_1.01	0.0276856770268	0.00213207261459	1.76444866658	0.0134916498498	0.0517126671825	0.678771945023	0.292722275098	0.0276856770268	0.0871411855451	0.401660567821	0.205935113961	4.86883049595	0.226686394189
bHLH_Average_27	0.00264688786672	0.152542861113	0.035379548186	0.000307260592436	0.154038354986	0.154038354986	1.36748403494	0.407218062159	1.36748403494	0.262857130535	0.407218062159	0.590846974765	0.622070517922
bHLH_M5981_1.01	0.552551650308	0.549686689249	0.713482646491	0.00477109842163	0.0048331377601	0.0048331377601	2.23541467349	0.108672678994	0.321701080568	0.699854369085	1.04204199932	0.108672678994	0.122331847195
bHLH_Average_154	0.00080688485688	0.364976614262	3.4369752088	0.00080688485688	0.0522877311393	0.00329720897576	0.366712281301	0.251210172524	0.509356268865	0.368454967788	0.0962781187854	1.10282221798	0.926784323537
bHLH_Average_164	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
bHLH_Average_148	0.212151618374	0.0680042788576	0.220260049649	0.000158216142836	0.0138849053468	0.0253807102479	2.14421588202	0.286467593507	1.89592700999	1.45198022552	0.890311882287	0.013709631065	0.413372594449
bHLH_Average_160	1.93538568083e-05	0.0452443170866	0.16129789209	0.000239051754617	0.10878187871	0.375901169811	2.60187698167	0.154713934308	4.1528130119	1.4130604206	0.213978860521	0.154713934308	0.175162278319
bHLH_M5980_1.01	0.00960469614398	0.0221689034016	1.42336969866	0.00101067481717	0.0097028684593	0.137989014799	0.429755669434	0.309057004165	1.39982182445	0.0225758206767	0.309057004165	0.938627526705	2.36460376949
bHLH_M0177_1.01	0.536451999057	1.17899068754	0.0957809972404	0.381747083276	0.00206842524551	0.0934322481502	0.0928531037821	1.18270268164	0.536451999057	0.162492123207	0.937231325579	0.257173208737	0.00238739295757
bHLH_Average_145	0.0647280310216	0.13692818437	1.46053602907	0.137565159499	1.44636501391	0.0650769714024	0.00618508295557	0.0647280310216	0.24902798364	0.138204825697	0.137565159499	0.402544990896	0.876162142959
bHLH_Average_140	0.246381900111	0.373977183263	1.53871488805	0.246381900111	0.96583223093	0.24754587498	0.0149498903605	0.0149498903605	0.00446621061887	0.0385977099952	0.0149498903605	0.733718252899	1.91429407403
bHLH_M0210_1.01	0.434664845388	0.165640132379	0.287431318315	1.43226871663	0.628882419163	0.436282978685	0.00305193310849	0.166426282197	0.0381532105485	0.16721577077	0.434664845388	0.0868981751545	0.299617586731
bHLH_M6165_1.01	0.0833000550307	0.000864512825867	1.62703746512	0.00638021840631	0.0504179776531	0.014198619801	0.622410569651	0.0499586572529	0.0277285613479	1.85722650448	0.953959244319	1.14926601699	1.22068343759
bHLH_M6031_1.01	0.0964793888126	0.00571948673862	0.0992715137246	0.00576885384659	0.0469857824553	0.0970321180243	0.0964793888126	1.99015646955	1.64779475783	1.65212845746	0.282409599012	0.0187180531395	0.853866653604
bHLH_M0187_1.01	0.334061094447	0.0245255817442	0.0613228497771	0.0246983646054	0.000190946206311	-0.0	0.209736980237	1.82542583331	1.1895032348	1.82995587762	1.82542583331	0.0594835471768	0.35552381898
bHLH_M2787_1.01	0.0566880894351	0.669244374772	0.329987419775	0.11441829208	0.324465374695	0.115037869825	0.89932851847	0.202045353039	0.671548479184	0.673859589981	0.11441829208	0.00743536976181	0.2169188866
bHLH_Average_139	0.000382830997864	0.0622879186624	0.0651254324666	1.34013654676	0.110977457529	0.00550659595757	1.60727278772	0.0321211609064	1.0977145191	0.691707372569	0.880499153287	0.0627530873635	0.732367819864
bHLH_Average_115	0.00327669148801	0.0137861013787	0.0143911907292	0.645494485521	0.0405035542375	0.0405035542375	1.46576385236	0.0402541453667	0.881069336107	2.19850763527	0.645494485521	-0.0	1.87814182616
bHLH_Average_117	1.14088897422	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	1.14088897422	0.417783553122	0.424733658688
bHLH_M5969_1.01	0.0999003055346	0.0993835797545	0.0461486245506	0.0004606698212	0.314987042275	0.0158150782363	1.89265613467	0.0157053269767	0.479022194028	0.100419468459	0.929675088347	0.188074588561	2.79556438187
bHLH_M6087_1.01	0.10471046941	0.103969539265	5.56645044284	0.000126975586392	0.352942181409	1.46404224349	0.0154170537958	0.0611521316277	0.996492065096	0.105455967239	0.0154170537958	0.166136295104	0.270038854016
bHLH_Average_143	2.80447118832e-05	0.000285682734121	0.00032091913667	2.91295485709e-08	2.99362996805e-08	9.87173807424e-05	6.95903407162e-06	1.03658693456e-10	2.36448062598e-07	7.12354571782e-06	0.445079924172	125.72213701	0.388380346478
bHLH_T-box_M5447_1.01	0.000754370428827	0.0493597486259	0.160978093037	1.01605939238e-05	1.03083851268e-05	0.00310391389385	0.000123827615282	0.0094385464935	5.65751960794	9.72583667596	2.95409847734	0.0497296505439	0.383090937272
