# maelstrom - GimmeMotifs version 0.10.0b4
# method: mwu with motif score
# motif table: hg19.most_variable.out/motif.score.txt.gz
# activity values: BH-corrected -log10 Mann-Whitney U p-value
	HSC	MPP	LMPP	CMP	GMP	MEP	Mono	CD4	CD8	Nkcell	Bcell	CLP	Ery
AP-2_Average_26	-0.0	2.36744452523e-09	4.598292783	-0.0	0.107542835217	0.00907585719883	14.0864894924	6.24174019812e-10	0.235193478523	0.276198274556	0.195469691951	35.3973008435	54.6803545689
AP-2_Average_17	-0.0	1.01210362451e-10	3.78463708598	-0.0	0.0319240827946	0.039143893062	21.4293422941	1.70184511298e-12	0.345175665515	1.47808634424	0.100443078329	14.645644326	84.4459785425
AP-2_Average_27	-0.0	1.54949294546e-10	4.23352725771	-0.0	0.098485386896	0.0184010344775	12.5278805533	8.99717526295e-13	0.890741580911	0.471796512469	0.552023632736	37.6718935953	58.6873873568
AP-2_Average_15	-0.0	2.63732692496e-08	3.52315322349	-0.0	0.00318452379989	5.10867219563e-05	19.6679957715	2.41081866638e-15	1.11639855243	0.868098816628	1.26396925106	35.871977752	70.3087077208
AP-2_M5965_1.01	-0.0	4.5323390928e-15	6.55261143173	-0.0	0.00126087912154	0.00914022000076	24.1293646937	1.2929984314e-07	3.13749641462	3.61095841054	0.172053386917	13.9084913227	82.985040944
ARID_BRIGHT_Average_1	43.2230009167	16.4931538338	0.0468244019763	25.6321534945	0.0261661781243	2.77768980727	-0.0	16.0599414797	0.00168801945855	2.16907623548e-11	0.0107923073281	5.83943019095e-09	-0.0
ARID_BRIGHT_M0104_1.01	63.111260387	26.4057838198	0.0216851260633	16.522068943	0.0110751392486	3.93723730678	-0.0	2.63622916418	1.02338232519e-07	0.000226905089136	0.488334523855	8.76499258791e-09	-0.0
ARID_BRIGHT_Average_3	37.3177022743	16.2611872167	0.00909375457715	30.1419608657	0.00762239644612	3.39869230103	-0.0	19.6627509055	0.00469486160049	2.01872311849e-12	0.00815384869354	6.02448589855e-10	-0.0
ARID_BRIGHT_M5966_1.01	63.0954456717	25.2275358904	2.86159772343e-05	28.8377711618	0.241278380421	3.60118873688	-0.0	10.6427393747	3.76017255975e-07	2.16305729181e-06	1.59107546029	9.77876267459e-13	-0.0
ARID_BRIGHT_Average_4	4.6943033707	1.53417084775	0.000232493817441	7.8414931605	0.804242735418	1.21623421128	0.000225827928712	2.23971778128	0.167000361124	0.767654326959	0.204057291406	0.00974363769324	-0.0
ARID_BRIGHT_M0108_1.01	33.8059167071	11.4411128861	1.64220673004e-06	42.2726639652	0.575671195054	7.38619832868	2.36260229306e-15	2.59445035018	1.04742064317e-05	5.86456749094e-07	0.0160809510027	2.69473595917e-11	-0.0
ARID_BRIGHT_Average_2	37.4385002833	13.6926928138	3.27056641595e-05	23.9500463471	1.74526982635	5.74831455687	5.60756421801e-14	1.15330469182	5.53000329024e-05	9.72038247923e-06	0.265187920804	2.04676113726e-09	-0.0
AT_hook_M6098_1.01	51.2656815678	17.6236722798	0.00112777528888	10.6111932366	0.168792474419	5.51719931952	-0.0	2.37710065655	0.000219805479642	0.000290734872652	3.35433459425	1.10251063008e-05	-0.0
